Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,139,118,4,4.5,4.5,9.65,1,0.92
2,138,107,4,4.0,4.5,8.87,1,0.76
3,137,104,3,3.0,3.5,8.0,1,0.72
4,138,110,3,3.5,2.5,8.67,1,0.8
5,137,103,2,2.0,3.0,8.21,0,0.65
6,138,115,5,4.5,3.0,9.34,1,0.9
7,138,109,3,3.0,4.0,8.2,1,0.75
8,137,101,2,3.0,4.0,7.9,0,0.68
9,136,102,1,2.0,1.5,8.0,0,0.5
10,138,108,3,3.5,3.0,8.6,0,0.45
11,138,106,3,3.5,4.0,8.4,1,0.52
12,138,111,4,4.0,4.5,9.0,1,0.84
13,138,112,4,4.0,4.5,9.1,1,0.78
14,137,109,3,4.0,3.0,8.0,1,0.62
15,137,104,3,3.5,2.0,8.2,1,0.61
16,137,105,3,3.5,2.5,8.3,0,0.54
17,137,107,3,4.0,3.0,8.7,0,0.66
18,137,106,3,4.0,3.0,8.0,1,0.65
19,137,110,3,4.0,3.0,8.8,0,0.63
20,136,102,3,3.5,3.0,8.5,0,0.62
21,137,107,3,3.0,2.0,7.9,1,0.64
22,138,114,4,3.0,2.0,8.4,0,0.7
23,138,116,5,5.0,5.0,9.5,1,0.94
24,138,119,5,5.0,4.5,9.7,1,0.95
25,139,119,5,4.0,3.5,9.8,1,0.97
26,139,120,5,4.5,4.5,9.6,1,0.94
27,138,109,5,4.5,3.5,8.8,0,0.76
28,136,98,2,1.5,2.5,7.5,1,0.44
29,136,93,1,2.0,2.0,7.2,0,0.46
30,137,99,2,1.5,2.0,7.3,0,0.54
31,136,97,2,3.0,3.0,8.1,1,0.65
32,138,103,3,4.0,4.0,8.3,1,0.74
33,139,118,4,3.0,4.5,9.4,1,0.91
34,139,114,5,4.0,4.0,9.6,1,0.9
35,138,112,5,4.0,5.0,9.8,1,0.94
36,138,110,5,5.0,5.0,9.2,1,0.88
37,136,106,2,4.0,4.0,8.4,0,0.64
38,136,105,1,1.0,2.0,7.8,0,0.58
39,136,105,1,3.0,1.5,7.5,0,0.52
40,137,108,2,4.0,3.5,7.7,0,0.48
41,137,110,3,3.5,3.0,8.0,1,0.46
42,137,105,2,2.5,2.5,8.2,1,0.49
43,137,107,2,2.5,2.0,8.5,1,0.53
44,138,117,4,4.5,4.0,9.1,0,0.87
45,138,113,5,4.5,4.0,9.4,1,0.91
46,138,110,5,5.0,4.0,9.1,1,0.88
47,138,114,5,4.0,5.0,9.3,1,0.86
48,139,119,5,4.5,4.0,9.7,0,0.89
49,138,110,3,3.5,5.0,8.85,1,0.82
50,138,111,4,3.0,4.0,8.4,1,0.78
51,137,98,3,2.5,4.5,8.3,1,0.76
52,137,100,2,1.5,3.5,7.9,1,0.56
53,138,116,4,4.0,3.0,8.0,1,0.78
54,138,112,4,4.0,2.5,8.1,1,0.72
55,138,110,3,3.0,3.5,8.0,0,0.7
56,138,103,3,3.0,3.0,7.7,0,0.64
57,137,102,3,2.0,3.0,7.4,0,0.64
58,136,99,2,4.0,2.0,7.6,0,0.46
59,136,99,1,3.0,2.0,6.8,1,0.36
60,137,104,2,2.0,2.0,8.3,0,0.42
61,137,100,2,3.0,3.0,8.1,0,0.48
62,137,101,3,4.0,3.0,8.2,0,0.47
63,136,105,2,3.0,3.0,8.2,1,0.54
64,137,107,2,4.0,3.0,8.5,1,0.56
65,138,111,3,3.0,3.5,8.7,0,0.52
66,138,112,4,3.5,3.5,8.92,0,0.55
67,138,114,3,3.0,3.0,9.02,0,0.61
68,137,107,2,3.5,3.5,8.64,1,0.57
69,137,109,3,3.5,4.0,9.22,1,0.68
70,138,115,4,4.5,4.0,9.16,1,0.78
71,138,118,5,5.0,5.0,9.64,1,0.94
72,139,112,5,5.0,5.0,9.76,1,0.96
73,138,111,5,5.0,5.0,9.45,1,0.93
74,137,108,4,4.5,4.0,9.04,1,0.84
75,137,106,3,3.0,5.0,8.9,0,0.74
76,138,114,2,2.0,4.0,8.56,1,0.72
77,138,112,3,3.0,3.0,8.72,1,0.74
78,136,99,2,3.0,2.0,8.22,0,0.64
79,136,95,2,3.0,2.0,7.54,1,0.44
80,136,93,1,1.5,2.0,7.36,0,0.46
81,137,105,3,2.0,3.0,8.02,1,0.5
82,139,120,4,5.0,5.0,9.5,1,0.96
83,138,110,5,5.0,4.5,9.22,1,0.92
84,138,115,5,4.0,4.5,9.36,1,0.92
85,139,115,5,4.5,4.5,9.45,1,0.94
86,137,103,4,4.5,3.5,8.66,0,0.76
87,137,106,3,4.5,3.5,8.42,0,0.72
88,137,107,2,3.5,3.0,8.28,0,0.66
89,137,108,3,4.5,3.5,8.14,0,0.64
90,137,109,4,4.5,3.5,8.76,1,0.74
91,137,106,2,4.0,4.0,7.92,1,0.64
92,136,97,3,5.0,3.5,7.66,0,0.38
93,136,98,2,4.0,3.0,8.03,0,0.34
94,136,97,2,3.0,3.0,7.88,1,0.44
95,136,99,3,2.0,2.5,7.66,0,0.36
96,136,100,4,1.5,2.5,7.84,0,0.42
97,137,100,2,3.0,3.0,8.0,0,0.48
98,138,120,3,4.0,4.0,8.96,1,0.86
99,138,119,4,5.0,4.5,9.24,1,0.9
100,138,113,3,4.0,4.0,8.88,1,0.79
101,138,107,3,3.5,3.5,8.46,1,0.71
102,137,105,2,2.5,3.0,8.12,0,0.64
103,137,106,2,4.0,3.5,8.25,0,0.62
104,137,104,2,4.5,4.0,8.47,0,0.57
105,138,112,3,3.5,3.0,9.05,1,0.74
106,137,110,3,4.0,4.5,8.78,1,0.69
107,138,111,4,4.5,4.5,9.18,1,0.87
108,139,117,4,3.5,4.5,9.46,1,0.91
109,138,116,5,5.0,5.0,9.38,1,0.93
110,136,103,5,5.0,4.0,8.64,0,0.68
111,137,108,5,3.0,3.0,8.48,0,0.61
112,138,109,4,4.0,4.0,8.68,1,0.69
113,136,107,3,3.5,3.5,8.34,1,0.62
114,138,110,2,4.0,3.5,8.56,0,0.72
115,137,105,3,3.5,3.0,8.45,1,0.59
116,137,106,4,4.5,4.5,9.04,1,0.66
117,136,102,3,4.0,3.5,8.62,0,0.56
118,136,104,4,2.0,2.5,7.46,0,0.45
119,136,99,2,3.0,3.5,7.28,0,0.47
120,138,104,5,3.0,3.5,8.84,1,0.71
121,139,117,5,5.0,5.0,9.56,1,0.94
122,138,119,5,4.5,4.5,9.48,1,0.94
123,137,106,4,1.5,2.5,8.36,0,0.57
124,137,108,3,3.5,3.5,8.22,0,0.61
125,136,106,4,2.5,3.0,8.47,0,0.57
126,136,100,3,2.0,3.0,8.66,1,0.64
127,138,113,3,4.0,3.0,9.32,1,0.85
128,137,112,3,2.5,2.0,8.71,1,0.78
129,138,112,3,3.5,3.0,9.1,1,0.84
130,138,118,5,5.0,5.0,9.35,1,0.92
131,139,114,5,4.0,4.5,9.76,1,0.96
132,136,105,5,5.0,4.5,8.65,0,0.77
133,137,105,5,3.5,3.5,8.56,0,0.71
134,138,112,5,4.0,4.5,8.78,0,0.79
135,138,113,5,4.0,4.0,9.28,1,0.89
136,137,109,4,3.5,4.0,8.77,1,0.82
137,137,103,3,5.0,4.0,8.45,0,0.76
138,137,100,2,1.5,3.0,8.16,1,0.71
139,138,116,2,4.5,3.0,9.08,1,0.8
140,137,109,1,3.5,3.5,9.12,0,0.78
141,138,110,2,4.0,3.0,9.15,1,0.84
142,138,118,2,4.5,3.5,9.36,1,0.9
143,138,115,5,4.0,3.5,9.44,1,0.92
144,139,120,4,4.5,4.0,9.92,1,0.97
145,138,112,2,3.0,3.5,8.96,1,0.8
146,138,113,2,2.0,2.5,8.64,1,0.81
147,137,105,3,2.0,2.5,8.48,0,0.75
148,138,114,3,3.0,3.0,9.11,1,0.83
149,139,116,4,4.0,3.5,9.8,1,0.96
150,137,106,2,3.5,3.0,8.26,1,0.79
151,138,114,4,4.0,4.0,9.43,1,0.93
152,138,116,5,5.0,5.0,9.28,1,0.94
153,138,112,5,5.0,5.0,9.06,1,0.86
154,138,105,3,3.0,4.0,8.75,0,0.79
155,138,108,3,3.0,3.5,8.89,0,0.8
156,137,109,3,3.0,3.0,8.69,0,0.77
157,137,105,3,2.0,2.5,8.34,0,0.7
158,137,104,2,2.0,2.5,8.26,0,0.65
159,137,106,2,2.0,2.5,8.14,0,0.61
160,136,100,1,1.5,2.0,7.9,0,0.52
161,137,103,1,1.5,2.0,7.86,0,0.57
162,136,99,1,1.5,3.0,7.46,0,0.53
163,137,109,3,3.0,3.0,8.5,0,0.67
164,137,105,3,3.5,3.0,8.56,0,0.68
165,138,111,4,4.5,4.0,9.01,1,0.81
166,138,110,5,4.5,4.0,8.97,0,0.78
167,136,102,3,3.5,5.0,8.33,0,0.65
168,137,102,3,2.0,3.0,8.27,0,0.64
169,136,97,2,2.0,4.0,7.8,1,0.64
170,137,99,2,2.5,3.0,7.98,0,0.65
171,137,101,2,2.5,3.5,8.04,1,0.68
172,138,117,5,4.0,4.5,9.07,1,0.89
173,138,110,4,4.0,5.0,9.13,1,0.86
174,138,113,4,4.0,4.5,9.23,1,0.89
175,138,111,4,4.0,4.0,8.97,1,0.87
176,138,111,4,4.5,3.5,8.87,1,0.85
177,138,119,4,4.5,4.5,9.16,1,0.9
178,137,110,3,3.5,3.5,9.04,0,0.82
179,137,108,3,2.5,3.0,8.12,0,0.72
180,137,102,3,3.0,3.0,8.27,0,0.73
181,136,104,3,3.5,3.0,8.16,0,0.71
182,137,107,2,2.5,2.5,8.42,0,0.71
183,136,100,2,3.0,3.5,7.88,0,0.68
184,137,110,3,4.0,4.0,8.8,0,0.75
185,137,106,2,2.5,4.0,8.32,0,0.72
186,138,113,4,4.5,4.5,9.11,1,0.89
187,137,107,3,3.5,3.0,8.68,1,0.84
188,139,118,5,4.5,3.5,9.44,1,0.93
189,138,115,5,4.5,3.5,9.36,1,0.93
190,138,112,5,5.0,5.0,9.08,1,0.88
191,138,111,5,4.5,4.0,9.16,1,0.9
192,138,110,5,4.0,5.0,8.98,1,0.87
193,138,114,5,4.5,4.0,8.94,1,0.86
194,139,118,5,4.5,5.0,9.53,1,0.94
195,137,109,3,3.5,3.0,8.76,0,0.77
196,137,107,2,3.0,3.5,8.52,1,0.78
197,137,105,2,3.0,2.5,8.26,0,0.73
198,137,106,2,3.5,2.5,8.33,0,0.73
199,137,104,3,4.5,4.5,8.43,0,0.7
200,137,107,3,4.0,4.5,8.69,0,0.72
201,137,103,3,2.5,3.0,8.54,1,0.73
202,137,110,2,3.5,3.0,8.46,1,0.72
203,139,120,5,4.5,4.5,9.91,1,0.97
204,138,120,5,4.0,5.0,9.87,1,0.97
205,136,105,3,3.5,4.0,8.54,0,0.69
206,136,99,2,2.5,3.0,7.65,0,0.57
207,137,99,2,3.5,3.0,7.89,0,0.63
208,137,102,3,3.5,4.0,8.02,1,0.66
209,137,106,2,3.0,3.0,8.16,0,0.64
210,136,104,3,3.5,4.0,8.12,1,0.68
211,138,108,4,4.5,4.0,9.06,1,0.79
212,138,110,4,5.0,4.0,9.14,1,0.82
213,139,120,4,5.0,5.0,9.66,1,0.95
214,138,119,5,5.0,4.5,9.78,1,0.96
215,138,117,4,4.5,5.0,9.42,1,0.94
216,138,116,5,5.0,4.5,9.36,1,0.93
217,138,112,4,4.5,4.5,9.26,1,0.91
218,138,109,4,4.0,4.0,9.13,1,0.85
219,138,110,4,3.0,3.5,8.97,1,0.84
220,137,104,3,3.5,3.5,8.42,0,0.74
221,137,103,3,4.0,4.0,8.75,0,0.76
222,137,110,3,3.5,4.0,8.56,0,0.75
223,138,113,4,4.5,4.0,8.79,0,0.76
224,137,109,2,3.0,4.0,8.45,0,0.71
225,137,105,2,3.0,2.0,8.23,0,0.67
226,136,99,2,2.5,2.5,8.03,0,0.61
227,137,110,2,3.5,4.0,8.45,0,0.63
228,137,110,2,3.5,3.0,8.53,0,0.64
229,137,112,3,4.0,3.5,8.67,0,0.71
230,138,111,4,3.0,3.0,9.01,1,0.82
231,137,104,3,4.0,4.5,8.65,0,0.73
232,137,106,3,3.5,2.5,8.33,1,0.74
233,137,107,2,2.5,3.5,8.27,0,0.69
234,136,100,2,2.5,3.5,8.07,0,0.64
235,138,113,5,5.0,4.0,9.31,1,0.91
236,138,111,5,4.5,4.0,9.23,1,0.88
237,138,112,4,4.0,4.5,9.17,1,0.85
238,138,114,5,4.5,5.0,9.19,1,0.86
239,137,104,3,2.0,3.5,8.37,0,0.7
240,136,100,1,1.5,2.0,7.89,0,0.59
241,136,101,1,2.5,3.0,7.68,0,0.6
242,137,103,2,2.5,2.0,8.15,0,0.65
243,138,115,3,3.5,3.0,8.76,1,0.7
244,138,114,3,3.5,3.0,9.04,1,0.76
245,137,107,2,2.5,4.0,8.56,0,0.63
246,138,110,4,4.0,2.5,9.02,1,0.81
247,137,105,3,3.0,3.5,8.73,0,0.72
248,137,104,2,2.5,3.5,8.48,0,0.71
249,138,110,3,3.5,4.0,8.87,1,0.8
250,138,111,3,3.5,4.0,8.83,1,0.77
251,138,104,3,3.0,2.5,8.57,1,0.74
252,137,99,2,2.5,3.0,9.0,0,0.7
253,137,100,2,2.5,3.5,8.54,1,0.71
254,139,115,4,4.5,4.5,9.68,1,0.93
255,138,114,4,4.0,5.0,9.12,0,0.85
256,137,110,4,4.0,4.5,8.37,0,0.79
257,137,99,3,4.0,4.0,8.56,0,0.76
258,138,100,3,4.0,5.0,8.64,1,0.78
259,138,102,4,5.0,5.0,8.76,1,0.77
260,138,119,4,5.0,4.5,9.34,1,0.9
261,138,108,5,5.0,3.5,9.13,1,0.87
262,137,104,3,3.5,4.0,8.09,0,0.71
263,137,103,2,2.5,4.0,8.36,1,0.7
264,138,111,3,2.5,1.5,8.79,1,0.7
265,138,110,2,3.0,2.5,8.76,1,0.75
266,137,102,3,2.5,2.5,8.68,0,0.71
267,137,105,2,2.0,2.5,8.45,0,0.72
268,137,107,3,3.0,3.5,8.17,1,0.73
269,138,113,4,4.5,5.0,9.14,0,0.83
270,137,108,4,4.5,5.0,8.34,0,0.77
271,137,105,2,2.5,3.0,8.22,1,0.72
272,136,96,2,1.5,2.0,7.86,0,0.54
273,136,95,1,1.5,1.5,7.64,0,0.49
274,137,99,1,1.0,1.5,8.01,1,0.52
275,137,100,1,2.0,2.5,7.95,0,0.58
276,138,110,3,3.5,3.0,8.96,1,0.78
277,138,113,5,5.0,4.5,9.45,1,0.89
278,138,101,2,2.5,3.0,8.62,0,0.7
279,137,103,2,3.0,3.5,8.49,0,0.66
280,136,102,2,3.0,4.0,8.73,0,0.67
281,137,102,3,4.5,4.0,8.64,1,0.68
282,137,110,3,4.0,4.5,9.11,1,0.8
283,137,106,3,4.0,3.5,8.79,1,0.81
284,138,111,3,2.5,3.0,8.9,1,0.8
285,139,112,4,5.0,4.5,9.66,1,0.94
286,138,116,5,4.0,4.0,9.26,1,0.93
287,139,118,5,4.5,4.0,9.19,1,0.92
288,138,114,5,5.0,4.5,9.08,1,0.89
289,137,104,4,5.0,5.0,9.02,0,0.82
290,137,109,3,4.0,3.5,9.0,0,0.79
291,137,105,2,2.5,3.0,7.65,0,0.58
292,136,102,2,1.5,2.0,7.87,0,0.56
293,136,99,2,1.0,2.0,7.97,0,0.56
294,137,98,1,3.5,3.0,8.18,1,0.64
295,137,101,2,2.5,2.0,8.32,1,0.61
296,137,100,2,3.0,2.5,8.57,0,0.68
297,137,107,3,3.5,3.5,8.67,0,0.76
298,138,120,3,4.0,4.5,9.11,0,0.86
299,138,114,3,4.5,4.5,9.24,1,0.9
300,137,112,3,3.0,3.5,8.65,0,0.71
301,137,106,2,2.5,2.5,8.0,0,0.62
302,137,108,2,2.5,3.0,8.76,0,0.66
303,138,105,2,3.0,3.0,8.45,1,0.65
304,138,107,3,3.5,3.5,8.55,1,0.73
305,137,106,2,2.5,2.0,8.43,0,0.62
306,138,109,3,3.5,3.5,8.8,1,0.74
307,138,110,3,4.0,3.5,9.1,1,0.79
308,138,112,4,4.0,4.0,9.0,1,0.8
309,137,108,3,3.5,3.0,8.53,0,0.69
310,137,110,4,3.5,3.0,8.6,0,0.7
311,138,104,3,3.0,3.5,8.74,1,0.76
312,138,108,4,4.5,4.0,9.18,1,0.84
313,137,107,4,4.5,4.5,9.0,1,0.78
314,136,100,3,3.5,3.0,8.04,0,0.67
315,137,105,2,3.0,4.0,8.13,0,0.66
316,137,104,2,2.5,3.0,8.07,0,0.65
317,136,101,2,1.5,2.0,7.86,0,0.54
318,136,99,1,1.0,2.5,8.01,0,0.58
319,138,111,3,2.5,2.0,8.8,1,0.79
320,138,113,4,3.5,3.0,8.69,1,0.8
321,137,106,3,4.0,3.5,8.5,1,0.75
322,138,104,3,4.0,4.0,8.44,1,0.73
323,137,107,2,2.5,4.0,8.27,0,0.72
324,137,102,2,2.0,2.5,8.18,0,0.62
325,137,104,3,3.0,2.5,8.33,0,0.67
326,138,116,3,3.5,4.0,9.14,1,0.81
327,136,100,3,2.0,2.0,8.02,0,0.63
328,136,101,2,2.5,2.0,7.86,0,0.69
329,138,112,4,4.0,3.5,8.77,1,0.8
330,136,96,2,2.5,1.5,7.89,0,0.43
331,138,113,3,3.5,3.0,8.66,1,0.8
332,137,105,2,3.0,2.0,8.12,1,0.73
333,137,106,3,3.5,2.5,8.21,1,0.75
334,137,108,3,3.0,3.5,8.54,1,0.71
335,137,107,4,4.5,4.0,8.65,1,0.73
336,138,111,4,4.0,4.5,9.11,1,0.83
337,137,110,3,3.0,2.5,8.79,0,0.72
338,138,118,5,5.0,5.0,9.47,1,0.94
339,138,108,5,4.0,4.0,8.74,1,0.81
340,138,107,5,3.5,4.0,8.66,1,0.81
341,137,107,3,3.0,3.0,8.46,1,0.75
342,138,110,3,3.5,3.5,8.76,1,0.79
343,137,106,3,3.0,3.0,8.24,0,0.58
344,137,103,2,2.5,3.5,8.13,0,0.59
345,136,96,2,1.5,2.0,7.34,0,0.47
346,137,98,1,1.5,2.0,7.43,0,0.49
347,136,97,2,1.5,2.0,7.64,0,0.47
348,136,94,1,1.0,1.0,7.34,0,0.42
349,136,99,1,2.0,2.0,7.25,0,0.57
350,137,101,3,2.5,3.0,8.04,0,0.62
351,137,107,3,3.0,3.5,8.27,1,0.74
352,138,110,4,3.5,4.0,8.67,1,0.73
353,136,100,2,3.0,3.5,8.06,1,0.64
354,136,102,3,3.5,2.5,8.17,0,0.63
355,136,98,2,2.5,3.0,7.67,0,0.59
356,137,106,2,2.0,3.5,8.12,0,0.73
357,138,109,3,3.5,4.0,8.77,1,0.79
358,136,104,2,3.5,3.5,7.89,1,0.68
359,137,105,2,2.5,2.0,7.64,0,0.7
360,138,107,2,2.0,1.5,8.44,0,0.81
361,138,110,3,4.0,5.0,8.64,1,0.85
362,138,116,4,4.0,3.5,9.54,1,0.93
363,139,115,5,4.5,5.0,9.23,1,0.91
364,137,103,2,2.5,3.0,8.36,0,0.69
365,137,102,3,3.5,4.0,8.9,1,0.77
366,138,114,4,4.5,3.0,9.17,1,0.86
367,138,104,3,3.5,4.5,8.34,1,0.74
368,137,98,1,1.0,2.5,7.46,0,0.57
369,136,92,1,2.0,2.0,7.88,0,0.51
370,136,98,1,2.0,3.0,8.03,1,0.67
371,137,103,2,2.5,2.5,8.24,0,0.72
372,138,110,3,3.5,3.0,9.22,1,0.89
373,139,119,4,4.5,4.0,9.62,1,0.95
374,138,109,3,3.0,3.0,8.54,1,0.79
375,137,105,2,2.0,2.5,7.65,0,0.39
376,136,101,2,2.0,2.5,7.66,0,0.38
377,136,96,2,2.5,2.0,7.43,0,0.34
378,136,100,1,1.5,2.0,7.56,0,0.47
379,136,98,1,2.0,2.5,7.65,0,0.56
380,137,99,1,2.5,3.0,8.43,1,0.71
381,138,104,3,3.5,4.0,8.84,1,0.78
382,137,105,3,3.0,3.5,8.67,1,0.73
383,138,110,4,4.5,4.0,9.15,1,0.82
384,136,100,3,3.0,3.5,8.26,0,0.62
385,139,113,4,5.0,5.0,9.74,1,0.96
386,139,117,5,5.0,5.0,9.82,1,0.96
387,136,101,2,2.5,3.5,7.96,0,0.46
388,137,105,2,2.0,3.5,8.1,0,0.53
389,136,97,2,1.5,2.0,7.8,0,0.49
390,138,108,3,3.5,4.0,8.44,1,0.76
391,137,102,2,2.0,2.5,8.24,0,0.64
392,137,106,3,2.0,3.0,8.65,0,0.71
393,138,112,4,4.0,3.5,9.12,1,0.84
394,137,104,2,3.0,3.0,8.76,0,0.77
395,138,111,4,4.5,4.0,9.23,1,0.89
396,138,110,3,3.5,3.5,9.04,1,0.82
397,138,107,3,3.0,3.5,9.11,1,0.84
398,138,116,4,5.0,4.5,9.45,1,0.91
399,137,103,3,3.5,4.0,8.78,0,0.67
400,138,117,4,5.0,4.0,9.66,1,0.95
401,136,100,2,3.5,3.0,8.22,0,0.63
402,137,105,2,3.0,3.0,8.34,0,0.66
403,138,109,3,3.5,3.0,8.94,1,0.78
404,138,116,4,4.0,3.5,9.23,1,0.91
405,137,101,3,2.0,2.5,7.64,1,0.62
406,136,99,3,2.5,3.0,7.45,0,0.52
407,138,103,4,3.0,2.5,8.02,1,0.61
408,136,100,3,2.5,4.0,7.95,1,0.58
409,136,101,3,2.0,4.0,7.67,1,0.57
410,136,98,1,2.0,2.5,8.02,0,0.61
411,136,96,1,3.0,4.0,7.56,0,0.54
412,137,94,2,2.5,1.5,8.13,0,0.56
413,137,102,4,2.5,2.0,7.88,1,0.59
414,137,101,3,3.0,2.0,7.94,1,0.49
415,138,110,4,3.5,4.0,8.35,1,0.72
416,138,106,4,4.0,4.5,8.75,1,0.76
417,137,104,3,4.0,2.5,8.1,0,0.65
418,137,103,3,3.5,2.0,7.68,0,0.52
419,137,111,2,2.5,4.0,8.03,0,0.6
420,137,102,2,2.0,3.5,7.98,1,0.58
421,136,100,3,2.0,3.0,7.42,0,0.42
422,138,112,3,3.0,4.5,8.95,1,0.77
423,138,112,4,3.5,2.5,9.02,1,0.73
424,138,119,5,4.5,5.0,9.54,1,0.94
425,138,114,5,4.0,5.0,9.46,1,0.91
426,138,111,5,4.0,5.0,9.86,1,0.92
427,137,106,3,3.0,5.0,8.57,0,0.71
428,137,101,3,3.5,5.0,8.65,1,0.71
429,137,103,2,2.0,4.5,8.74,0,0.69
430,139,115,5,5.0,4.5,9.06,1,0.95
431,137,104,3,4.0,3.5,8.13,1,0.74
432,138,112,2,3.5,3.5,8.78,1,0.73
433,138,112,4,4.5,4.0,9.22,1,0.86
434,137,111,4,4.0,5.0,8.54,0,0.71
435,137,103,3,3.5,3.0,8.21,0,0.64
436,137,105,2,2.5,4.0,7.68,0,0.55
437,137,110,1,1.5,4.0,7.23,1,0.58
438,137,106,1,1.5,3.5,7.65,1,0.61
439,137,110,1,2.5,3.5,8.54,1,0.67
440,137,105,2,1.5,3.0,8.46,0,0.66
441,137,104,2,2.5,1.5,7.79,0,0.53
442,138,112,1,1.5,3.0,8.66,1,0.79
443,138,116,4,4.5,4.5,9.44,1,0.92
444,138,114,5,4.5,4.5,9.16,1,0.87
445,138,113,5,4.0,5.0,9.25,1,0.92
446,138,116,5,4.5,5.0,9.08,1,0.91
447,138,118,4,5.0,5.0,9.67,1,0.93
448,138,108,3,3.5,5.0,8.97,1,0.84
449,137,109,2,2.5,4.0,9.02,0,0.8
450,137,101,3,3.5,4.5,9.13,0,0.79
451,138,112,4,3.0,4.5,8.86,1,0.82
452,138,113,4,4.5,4.5,9.25,1,0.89
453,138,116,4,5.0,3.5,9.6,1,0.93
454,137,103,3,2.5,4.0,8.76,1,0.73
455,137,105,2,3.0,3.5,8.01,0,0.71
456,137,102,2,1.5,2.5,7.64,0,0.59
457,136,100,2,2.0,2.0,7.88,0,0.51
458,136,99,1,2.0,1.5,7.57,0,0.37
459,137,100,1,3.0,3.0,8.53,1,0.69
460,138,113,4,4.0,3.5,9.36,1,0.89
461,137,105,4,4.0,4.5,8.66,1,0.77
462,136,102,3,2.5,2.0,8.13,1,0.68
463,137,105,4,3.0,3.0,7.94,0,0.62
464,136,107,3,3.5,3.0,7.86,0,0.57
465,136,97,2,2.0,3.0,7.21,0,0.45
466,137,96,4,3.0,4.5,8.26,0,0.54
467,137,99,4,3.5,4.5,8.73,1,0.71
468,137,101,5,3.5,5.0,8.78,1,0.78
469,138,110,4,4.0,5.0,8.88,1,0.81
470,138,114,4,4.0,3.5,9.16,1,0.86
471,138,110,5,4.0,4.0,9.27,1,0.87
472,137,103,3,2.0,4.0,8.09,0,0.64
473,138,116,4,4.0,4.5,9.48,1,0.9
474,137,102,2,4.0,3.5,8.15,0,0.67
475,137,105,4,3.0,2.5,7.95,1,0.67
476,136,101,3,3.5,2.5,7.88,0,0.59
477,136,104,3,2.5,2.0,8.12,0,0.62
478,137,105,4,3.5,2.0,8.18,0,0.65
479,137,103,3,4.0,4.5,8.49,1,0.71
480,138,110,4,4.5,4.0,8.96,1,0.79
481,138,102,3,3.5,4.0,9.01,1,0.8
482,138,107,4,3.0,2.5,8.48,1,0.78
483,138,113,4,4.0,2.5,8.77,1,0.83
484,136,103,5,5.0,3.0,7.92,0,0.71
485,137,106,3,3.5,3.0,7.89,1,0.73
486,137,101,2,2.5,3.5,8.34,1,0.7
487,137,102,3,2.5,2.5,8.37,0,0.68
488,138,115,4,3.5,4.0,9.14,0,0.79
489,138,112,3,3.0,4.0,8.62,1,0.76
490,136,110,3,4.0,4.5,8.5,0,0.65
491,137,105,2,2.5,4.5,8.12,1,0.67
492,136,99,4,3.0,3.5,7.81,0,0.54
493,136,101,4,2.5,4.5,7.69,1,0.53
494,136,95,2,3.0,1.5,8.22,1,0.62
495,136,99,3,2.5,2.0,8.45,1,0.68
496,138,108,5,4.5,4.0,9.02,1,0.87
497,139,117,5,5.0,5.0,9.87,1,0.96
498,138,120,5,4.5,5.0,9.56,1,0.93
499,137,103,4,4.0,5.0,8.43,0,0.73
500,138,113,4,4.5,4.5,9.04,0,0.84
